seed,K,mu_f,ks,kf,tb,policy,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
1,2,1.0,10,5,,fifo,ING,600.0,1806,1087,719,577,577,577,496,10.033038856273961,9.119220547410295
1,2,1.0,10,5,,fifo,PREPA,600.0,361,203,158,83,83,83,118,11.413360902612926,11.842703311318866
2,2,1.0,10,5,,fifo,ING,600.0,1785,1102,683,615,615,615,474,9.853345906273395,8.67331273002468
2,2,1.0,10,5,,fifo,PREPA,600.0,363,227,136,96,96,96,130,11.047555349731423,11.672213166027676
3,2,1.0,10,5,,fifo,ING,600.0,1797,1130,667,648,648,648,467,9.973879265422024,9.620719566222663
3,2,1.0,10,5,,fifo,PREPA,600.0,356,236,120,105,105,105,129,10.721508506155903,11.861435725994255
4,2,1.0,10,5,,fifo,ING,600.0,1823,1198,625,701,701,701,486,9.76331430749698,9.51950733779106
4,2,1.0,10,5,,fifo,PREPA,600.0,342,206,136,94,94,94,108,10.998805186877235,11.772224961095958
5,2,1.0,10,5,,fifo,ING,600.0,1795,1104,691,618,618,618,473,9.99242198170927,9.539005264279036
5,2,1.0,10,5,,fifo,PREPA,600.0,360,221,139,93,93,93,127,10.507761640162569,12.143925213896662
6,2,1.0,10,5,,fifo,ING,600.0,1774,1085,689,587,587,587,483,10.060590921231368,8.056181868018495
6,2,1.0,10,5,,fifo,PREPA,600.0,348,225,123,95,95,95,127,10.603018091062932,11.730848041663858
7,2,1.0,10,5,,fifo,ING,600.0,1869,1149,720,686,686,686,452,10.205480551698509,9.468262284739364
7,2,1.0,10,5,,fifo,PREPA,600.0,375,234,141,100,100,100,128,10.393302098967938,11.728117434184943
1,2,1.0,10,5,,priority_ing,ING,600.0,1785,1118,667,637,637,637,474,7.120863514692283,6.984394210164967
1,2,1.0,10,5,,priority_ing,PREPA,600.0,354,230,124,110,110,110,113,23.968548001413893,64.88718288686826
2,2,1.0,10,5,,priority_ing,ING,600.0,1819,1168,651,667,667,667,496,7.089280394288081,9.997939757329021
2,2,1.0,10,5,,priority_ing,PREPA,600.0,355,221,134,101,101,101,109,24.59171843854363,71.91122210358027
3,2,1.0,10,5,,priority_ing,ING,600.0,1783,1150,633,678,678,678,466,7.347137354186211,9.062885941658582
3,2,1.0,10,5,,priority_ing,PREPA,600.0,369,261,108,134,134,134,120,21.525768464065308,52.10750433001568
4,2,1.0,10,5,,priority_ing,ING,600.0,1790,1162,628,639,639,639,512,6.727745073454972,9.495641170723285
4,2,1.0,10,5,,priority_ing,PREPA,600.0,346,219,127,105,105,105,109,24.422772051847726,51.239141364970806
5,2,1.0,10,5,,priority_ing,ING,600.0,1823,1078,745,552,552,552,519,6.616920555196543,9.789617647221386
5,2,1.0,10,5,,priority_ing,PREPA,600.0,351,202,149,76,76,76,116,26.726297529538456,41.45063575660443
