lambda,K,mu_s,mu_f,ks,kf,backup_strategy,backup_p,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted,s1_util,s2_util,s1_system_timeavg,s1_queue_timeavg,s2_system_timeavg,s2_queue_timeavg,backups_written,cost_per_arrival
2.0,1,0.5,0.5,0,0,none,0.0,6264,1240,5024,467,467,467,764,0.8020434227330779,0.37661290322580643,0.37661290322580643,4.567801042414765,0.7914086120412556,0.4725503044244122,0.6817188224980766,-0.13303052917856356,0.49435640149774446,-0.23680135151008935,0.0,2.984691217028397
2.0,1,0.5,0.5,0,0,random,0.5,6240,1262,4978,506,506,241,740,0.7977564102564103,0.4009508716323296,0.19096671949286848,4.613168148350093,0.7860795635633124,0.46941267883233784,0.7057000193723849,-0.15270758360399428,0.49296748632724363,-0.19703715679037706,71.44444444444444,2.872901239472561
2.0,1,0.5,0.5,0,0,systematic,1.0,6264,1240,5024,467,467,0,764,0.8020434227330779,0.37661290322580643,0.0,4.567801042414765,0.7914086120412556,0.4725503044244122,0.6817188224980766,-0.13303052917856356,0.49435640149774446,-0.23680135151008935,137.33333333333334,2.7451782011144985
2.0,1,0.5,0.5,0,2,none,0.0,6278,1230,5048,142,142,142,1072,0.8040777317617076,0.11544715447154472,0.11544715447154472,5.596330298830824,0.8045880835771355,0.6449804868937145,0.7029706265243738,-0.15424750994808262,1.155792642934276,0.4168768426936557,0.0,2.725378032572051
2.0,1,0.5,0.5,0,2,random,0.5,6266,1249,5017,162,162,75,1070,0.8006702840727737,0.1297037630104083,0.0600480384307446,5.710674017429726,0.7947797040492305,0.6713999166821835,0.6871059093767138,-0.12483772433193632,1.2220847007135012,0.4777727302746075,73.11111111111111,2.712528576495838
2.0,1,0.5,0.5,0,2,systematic,1.0,6278,1230,5048,142,142,0,1072,0.8040777317617076,0.11544715447154472,0.0,5.596330298830824,0.8045880835771355,0.6449804868937145,0.7029706265243738,-0.15424750994808262,1.155792642934276,0.4168768426936557,136.0,2.693462457805759
2.0,1,0.5,0.5,5,0,none,0.0,6351,1570,4781,741,741,741,772,0.7527948354589828,0.47197452229299364,0.47197452229299364,14.527501662887955,0.9909188874378023,0.4963241271708023,5.483254134642909,4.404771440440717,0.4913828904449452,-0.20657842871767118,0.0,3.0823421350952085
2.0,1,0.5,0.5,5,0,random,0.5,6315,1607,4708,779,779,385,771,0.7455265241488519,0.48475420037336653,0.23957685127566894,14.330671284967789,0.9921273045320758,0.4915167903722981,5.476970724620167,4.394624094353909,0.5119908031374423,-0.25869026773040577,86.66666666666667,2.8939108409292555
2.0,1,0.5,0.5,5,0,systematic,1.0,6351,1570,4781,741,741,0,772,0.7527948354589828,0.47197452229299364,0.0,14.527501662887955,0.9909188874378023,0.4963241271708023,5.483254134642909,4.404771440440717,0.4913828904449452,-0.20657842871767118,168.55555555555554,2.686818515613046
2.0,1,0.5,0.5,5,2,none,0.0,6322,1647,4675,435,435,435,1149,0.7394811768427713,0.2641165755919854,0.2641165755919854,16.17582264339962,0.9933111753977217,0.7624977915292255,5.429279894574753,4.370207140727358,1.5719156535712826,0.7272393111455542,0.0,2.8213970077206914
2.0,1,0.5,0.5,5,2,random,0.5,6318,1639,4679,385,385,194,1190,0.740582462804685,0.2348993288590604,0.11836485661989017,15.75553870543592,0.9911863161601929,0.7652338867708538,5.4654030231977435,4.364696564351181,1.5009763657681556,0.7061411333936413,88.22222222222223,2.700309873786443
2.0,1,0.5,0.5,5,2,systematic,1.0,6322,1647,4675,435,435,0,1149,0.7394811768427713,0.2641165755919854,0.0,16.17582264339962,0.9933111753977217,0.7624977915292255,5.429279894574753,4.370207140727358,1.5719156535712826,0.7272393111455542,177.66666666666666,2.6208773102689493
2.0,1,0.5,1.0,0,0,none,0.0,6268,1222,5046,249,249,249,962,0.8050414805360562,0.2037643207855974,0.2037643207855974,3.3946381964588483,0.7996083339159658,0.2921588612021384,0.710605159890896,-0.13403826777641553,0.36818318191809196,-0.14141160783977627,0.0,2.81433133282301
2.0,1,0.5,1.0,0,0,random,0.5,6329,1238,5091,291,291,155,937,0.8043924790646232,0.23505654281098545,0.12520193861066237,3.5054153746476975,0.8028897021615717,0.30451469352750643,0.6976245275055647,-0.13489510846046693,0.37541914837444457,-0.14558339278821042,68.55555555555556,2.778764560740977
2.0,1,0.5,1.0,0,0,systematic,1.0,6268,1222,5046,249,249,0,962,0.8050414805360562,0.2037643207855974,0.0,3.3946381964588483,0.7996083339159658,0.2921588612021384,0.710605159890896,-0.13403826777641553,0.36818318191809196,-0.14141160783977627,135.0,2.7140083627490643
2.0,1,0.5,1.0,0,2,none,0.0,6263,1231,5032,23,23,23,1198,0.8034488264410027,0.01868399675060926,0.01868399675060926,3.345017162465565,0.7897640364492086,0.3663731279586552,0.6930047193637935,-0.14883781223166886,0.5388826804180687,-0.03402161623861777,0.0,2.6320257650645313
2.0,1,0.5,1.0,0,2,random,0.5,6334,1260,5074,18,18,14,1232,0.8010735712030312,0.014285714285714285,0.011111111111111112,3.4068825907359868,0.7971499926657359,0.3915121618397784,0.7135592539486433,-0.15877278321387345,0.594724404715201,0.004289349294435303,67.55555555555556,2.6389813139914384
2.0,1,0.5,1.0,0,2,systematic,1.0,6263,1231,5032,23,23,0,1198,0.8034488264410027,0.01868399675060926,0.0,3.345017162465565,0.7897640364492086,0.3663731279586552,0.6930047193637935,-0.14883781223166886,0.5388826804180687,-0.03402161623861777,136.0,2.676201525391378
