job_id,population,arrival_t,accepted,refused_reason,s1_start_t,s1_end_t,s2_start_t,s2_end_t,stage2_refused,backed_up,lost_result
1,ALL,0.0,True,,0.0,1.020060287274801,1.020060287274801,2.6777983814978983,False,False,False
2,ALL,0.005065767808547778,True,,0.005065767808547778,0.32668983188351336,0.32668983188351336,0.8747359912800043,False,True,False
3,ALL,0.055583004942570485,True,,0.32668983188351336,2.553977931434894,,,True,False,True
4,ALL,0.32230153950418705,True,,1.020060287274801,1.2690867062416247,2.6777983814978983,3.153473064346883,False,False,False
5,ALL,0.5481361412639056,True,,1.2690867062416247,2.46687664721511,3.153473064346883,3.9565258098333675,False,False,False
6,ALL,0.5541861767053774,True,,2.46687664721511,3.3925261141711247,3.9565258098333675,4.039681332292358,False,False,False
7,ALL,0.6035295158973423,True,,2.553977931434894,3.8623183618811607,4.039681332292358,4.146155166803838,False,True,False
8,ALL,0.744312621470573,True,,3.3925261141711247,4.356222319297972,4.356222319297972,4.666801640437958,False,True,False
9,ALL,0.7496915022066345,False,stage1_full,,,,,False,False,False
10,ALL,0.7940298360393706,False,stage1_full,,,,,False,False,False
11,ALL,1.003928236283885,False,stage1_full,,,,,False,False,False
12,ALL,1.1613940871323654,True,,3.8623183618811607,5.081647934128992,5.081647934128992,9.640254302571055,False,False,False
13,ALL,1.1626980808432188,False,stage1_full,,,,,False,False,False
14,ALL,1.490491253261329,True,,4.356222319297972,4.818545069550416,4.818545069550416,5.006247454909531,False,False,False
15,ALL,1.524288506878783,False,stage1_full,,,,,False,False,False
16,ALL,2.154593036566444,False,stage1_full,,,,,False,False,False
17,ALL,2.2366668225426607,False,stage1_full,,,,,False,False,False
18,ALL,2.256133352810652,False,stage1_full,,,,,False,False,False
19,ALL,2.276477089809778,False,stage1_full,,,,,False,False,False
20,ALL,2.652587838136406,True,,4.818545069550416,5.8627697042562925,10.915801233244096,13.002089684629809,False,True,False
21,ALL,3.37583087527441,True,,5.081647934128992,5.2600601349369365,9.640254302571055,10.915801233244096,False,False,False
22,ALL,3.7295230721915105,True,,5.2600601349369365,6.0741322051044,,,True,True,False
23,ALL,3.9017662604612795,True,,5.8627697042562925,6.122898961766946,,,True,False,True
24,ALL,3.9534940545307125,False,stage1_full,,,,,False,False,False
25,ALL,4.021819785966649,False,stage1_full,,,,,False,False,False
26,ALL,4.074818961245049,False,stage1_full,,,,,False,False,False
27,ALL,4.1399576772387086,False,stage1_full,,,,,False,False,False
28,ALL,4.341904652345605,False,stage1_full,,,,,False,False,False
29,ALL,4.432677858329628,True,,6.0741322051044,6.453130248663069,,,True,False,True
30,ALL,4.984508416998733,True,,6.122898961766946,8.986020267020404,,,True,True,False
31,ALL,5.24572930834121,True,,6.453130248663069,6.956702080010659,,,True,False,True
32,ALL,5.450059424433258,True,,6.956702080010659,9.237749616299446,,,True,False,True
33,ALL,5.820172771362759,False,stage1_full,,,,,False,False,False
34,ALL,6.119394537811627,True,,8.986020267020404,9.534478474804054,,,True,True,False
35,ALL,6.166787980585357,True,,9.237749616299446,9.990889601649913,13.002089684629809,13.369557123451862,False,False,False
36,ALL,6.242361241433731,True,,9.534478474804054,11.506176199235274,,,True,False,True
37,ALL,6.455457874352327,True,,9.990889601649913,11.1356831231441,13.369557123451862,16.30606708121744,False,False,False
38,ALL,6.57827031388705,False,stage1_full,,,,,False,False,False
39,ALL,6.639814664743154,False,stage1_full,,,,,False,False,False
40,ALL,6.696453763902691,False,stage1_full,,,,,False,False,False
41,ALL,6.8612727223248315,False,stage1_full,,,,,False,False,False
42,ALL,6.92223609216867,False,stage1_full,,,,,False,False,False
43,ALL,7.097932020592334,True,,11.1356831231441,11.441378533646724,,,True,False,True
44,ALL,7.147450203922418,False,stage1_full,,,,,False,False,False
45,ALL,8.348774490442114,False,stage1_full,,,,,False,False,False
46,ALL,8.491251211897698,False,stage1_full,,,,,False,False,False
47,ALL,8.51031331853681,False,stage1_full,,,,,False,False,False
48,ALL,8.519965818057988,False,stage1_full,,,,,False,False,False
49,ALL,8.543193749735051,False,stage1_full,,,,,False,False,False
50,ALL,8.740668429167966,False,stage1_full,,,,,False,False,False
51,ALL,9.05478819547406,True,,11.441378533646724,13.878957108680956,16.30606708121744,16.5778818863805,False,True,False
52,ALL,9.150918389463742,False,stage1_full,,,,,False,False,False
53,ALL,10.2613735735874,True,,11.506176199235274,12.524913626251832,,,True,False,True
54,ALL,10.323447797545128,True,,12.524913626251832,14.63458246683036,16.5778818863805,16.81898169996964,False,True,False
55,ALL,10.5283130946479,True,,13.878957108680956,15.330683955448793,,,True,True,False
56,ALL,10.551968965467374,False,stage1_full,,,,,False,False,False
57,ALL,10.666071795184275,False,stage1_full,,,,,False,False,False
58,ALL,10.786997874957143,False,stage1_full,,,,,False,False,False
59,ALL,11.402021933331833,True,,14.63458246683036,15.184734572357804,,,True,False,True
60,ALL,11.441383581443349,True,,15.184734572357804,20.513378507949202,,,True,False,True
61,ALL,11.51227471780768,True,,15.330683955448793,16.05961550949996,,,True,True,False
62,ALL,11.545447685157368,False,stage1_full,,,,,False,False,False
63,ALL,11.83297431126578,False,stage1_full,,,,,False,False,False
64,ALL,11.988010264329555,False,stage1_full,,,,,False,False,False
65,ALL,12.289591036770315,False,stage1_full,,,,,False,False,False
66,ALL,12.440746109085529,False,stage1_full,,,,,False,False,False
67,ALL,12.44086052103011,False,stage1_full,,,,,False,False,False
68,ALL,12.519219137659544,False,stage1_full,,,,,False,False,False
69,ALL,12.523152920353509,False,stage1_full,,,,,False,False,False
70,ALL,13.052445986136593,True,,16.05961550949996,18.023127467242105,18.023127467242105,18.58709226764885,False,True,False
71,ALL,13.064380099431009,False,stage1_full,,,,,False,False,False
72,ALL,13.48514268329997,False,stage1_full,,,,,False,False,False
73,ALL,13.50305180812045,False,stage1_full,,,,,False,False,False
74,ALL,13.636154500088523,False,stage1_full,,,,,False,False,False
75,ALL,13.650499359447318,False,stage1_full,,,,,False,False,False
76,ALL,13.936425065530436,True,,18.023127467242105,18.234354693766367,18.58709226764885,18.690696405698986,False,False,False
77,ALL,14.065404070357623,False,stage1_full,,,,,False,False,False
78,ALL,14.225018336865249,False,stage1_full,,,,,False,False,False
79,ALL,14.286610702648142,False,stage1_full,,,,,False,False,False
80,ALL,14.698433479503606,True,,18.234354693766367,18.86363483114838,18.86363483114838,20.84176631093413,False,False,False
81,ALL,14.853433422972028,False,stage1_full,,,,,False,False,False
82,ALL,15.115249033552113,False,stage1_full,,,,,False,False,False
83,ALL,15.160165716884132,False,stage1_full,,,,,False,False,False
84,ALL,15.234876548634853,True,,18.86363483114838,19.378838829526547,20.84176631093413,21.02366129144938,False,True,False
85,ALL,15.35016285467578,True,,19.378838829526547,19.664730950125435,21.02366129144938,21.688495349092015,False,False,False
