lambda,seed,K,mu_s,mu_f,ks,kf,backup_p,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
0.5,1,3,1.0,2.0,20,20,0.0,500.0,270,270,0,0,0,0,270,1.7352979187274138,1.3796980216691768
0.5,2,3,1.0,2.0,20,20,0.0,500.0,250,250,0,0,0,0,248,1.7030205049948586,1.6304815503140757
0.5,3,3,1.0,2.0,20,20,0.0,500.0,260,260,0,0,0,0,258,1.6473840280218517,1.4263882493833469
0.5,4,3,1.0,2.0,20,20,0.0,500.0,210,210,0,0,0,0,209,1.7100773224031267,1.4203723453414594
0.5,5,3,1.0,2.0,20,20,0.0,500.0,289,289,0,0,0,0,288,1.678881360671452,1.2117926317006944
0.5,6,3,1.0,2.0,20,20,0.0,500.0,248,248,0,0,0,0,248,1.594626561992826,1.2736343278271984
0.5,7,3,1.0,2.0,20,20,0.0,500.0,235,235,0,0,0,0,233,1.593571966585093,1.1325971189604649
0.5,8,3,1.0,2.0,20,20,0.0,500.0,245,245,0,0,0,0,245,1.693366570260623,1.4630006159581048
0.5,9,3,1.0,2.0,20,20,0.0,500.0,270,270,0,0,0,0,270,1.6570104593170458,1.5914067938384038
0.5,10,3,1.0,2.0,20,20,0.0,500.0,268,268,0,0,0,0,268,1.6390789294666561,1.4163476100378334
0.5,11,3,1.0,2.0,20,20,0.0,500.0,243,243,0,0,0,0,243,1.667953025507241,1.445998419947729
0.5,12,3,1.0,2.0,20,20,0.0,500.0,228,228,0,0,0,0,226,1.5281170938435493,1.1105482632518688
0.5,13,3,1.0,2.0,20,20,0.0,500.0,265,265,0,0,0,0,263,1.602190753199999,1.368090597670702
0.5,14,3,1.0,2.0,20,20,0.0,500.0,244,244,0,0,0,0,243,1.8520717857091438,2.0214359947831393
0.5,15,3,1.0,2.0,20,20,0.0,500.0,244,244,0,0,0,0,244,1.8005344861417418,1.8143786254118308
0.5,16,3,1.0,2.0,20,20,0.0,500.0,247,247,0,0,0,0,247,1.620227559757115,1.147940234971916
0.5,17,3,1.0,2.0,20,20,0.0,500.0,252,252,0,0,0,0,252,1.68245183722966,1.5807297869049532
0.5,18,3,1.0,2.0,20,20,0.0,500.0,241,241,0,0,0,0,238,1.577175629038266,1.2141718570810347
0.5,19,3,1.0,2.0,20,20,0.0,500.0,263,263,0,0,0,0,262,1.6333518815013923,1.4304142689883834
0.5,20,3,1.0,2.0,20,20,0.0,500.0,240,240,0,0,0,0,238,1.6788918022362567,1.4453285122350845
1.0,1,3,1.0,2.0,20,20,0.0,500.0,496,496,0,0,0,0,495,2.042566818289616,1.9136246144525662
1.0,2,3,1.0,2.0,20,20,0.0,500.0,508,508,0,0,0,0,505,1.9281781114939978,1.7880019625109405
1.0,3,3,1.0,2.0,20,20,0.0,500.0,527,527,0,0,0,0,526,2.1142927392492754,1.9898718278037437
1.0,4,3,1.0,2.0,20,20,0.0,500.0,478,478,0,0,0,0,476,1.9888140275878639,1.791397443867975
1.0,5,3,1.0,2.0,20,20,0.0,500.0,482,482,0,0,0,0,481,1.719237476060051,1.3024367215884198
1.0,6,3,1.0,2.0,20,20,0.0,500.0,492,492,0,0,0,0,491,2.2028087352811503,2.860206525752655
1.0,7,3,1.0,2.0,20,20,0.0,500.0,519,519,0,0,0,0,515,2.010950530243669,1.766069600552365
1.0,8,3,1.0,2.0,20,20,0.0,500.0,501,501,0,0,0,0,498,1.857546541084319,1.6584339354885493
1.0,9,3,1.0,2.0,20,20,0.0,500.0,485,485,0,0,0,0,482,1.979584886965961,2.401601186331878
1.0,10,3,1.0,2.0,20,20,0.0,500.0,512,512,0,0,0,0,512,2.22686922030881,2.4652902772264658
1.0,11,3,1.0,2.0,20,20,0.0,500.0,516,516,0,0,0,0,515,2.3256848774698895,2.9372343462569552
1.0,12,3,1.0,2.0,20,20,0.0,500.0,524,524,0,0,0,0,517,2.1660871599620237,2.1127511559585246
1.0,13,3,1.0,2.0,20,20,0.0,500.0,510,510,0,0,0,0,509,1.9515367946112467,1.7674694544451515
1.0,14,3,1.0,2.0,20,20,0.0,500.0,465,465,0,0,0,0,463,1.9055460922313372,1.7149421578782211
1.0,15,3,1.0,2.0,20,20,0.0,500.0,476,476,0,0,0,0,472,2.162420865227526,2.088434589430769
1.0,16,3,1.0,2.0,20,20,0.0,500.0,511,511,0,0,0,0,509,2.3033479160074557,2.350433047392372
1.0,17,3,1.0,2.0,20,20,0.0,500.0,471,471,0,0,0,0,470,1.8045321245437715,1.5367188238035037
1.0,18,3,1.0,2.0,20,20,0.0,500.0,498,498,0,0,0,0,495,1.9056244493620218,1.7479638525845638
1.0,19,3,1.0,2.0,20,20,0.0,500.0,483,483,0,0,0,0,482,2.0746677423178794,1.933959964150273
1.0,20,3,1.0,2.0,20,20,0.0,500.0,509,509,0,0,0,0,508,2.1040919345342712,2.0112581047925246
1.5,1,3,1.0,2.0,20,20,0.0,500.0,715,715,0,0,0,0,714,2.721961229773295,3.5601244120884887
1.5,2,3,1.0,2.0,20,20,0.0,500.0,771,771,0,0,0,0,766,3.404295928718585,5.798927692519483
1.5,3,3,1.0,2.0,20,20,0.0,500.0,710,710,0,0,0,0,709,2.8249038092477,3.435319000396135
1.5,4,3,1.0,2.0,20,20,0.0,500.0,681,681,0,0,0,0,680,2.497360766426581,2.7169563278796067
1.5,5,3,1.0,2.0,20,20,0.0,500.0,742,742,0,0,0,0,740,2.3325451304584264,2.0331593728515713
1.5,6,3,1.0,2.0,20,20,0.0,500.0,751,751,0,0,0,0,747,3.9149681939505467,6.276463915810878
1.5,7,3,1.0,2.0,20,20,0.0,500.0,766,766,0,0,0,0,760,3.1943130793313563,5.213712718117791
1.5,8,3,1.0,2.0,20,20,0.0,500.0,705,705,0,0,0,0,703,2.584029883985394,2.637961117266431
1.5,9,3,1.0,2.0,20,20,0.0,500.0,760,760,0,3,3,3,745,3.103301518468033,7.834739733743693
1.5,10,3,1.0,2.0,20,20,0.0,500.0,782,782,0,0,0,0,779,3.9228624804903256,7.669487343757202
1.5,11,3,1.0,2.0,20,20,0.0,500.0,706,706,0,0,0,0,702,2.8524901268279295,3.642489592612196
1.5,12,3,1.0,2.0,20,20,0.0,500.0,746,746,0,0,0,0,743,3.3124337100318346,5.581358801776163
1.5,13,3,1.0,2.0,20,20,0.0,500.0,767,767,0,0,0,0,765,3.2753980238361264,5.470557413626789
1.5,14,3,1.0,2.0,20,20,0.0,500.0,737,737,0,0,0,0,735,2.7777855170389927,3.1296440544126467
1.5,15,3,1.0,2.0,20,20,0.0,500.0,730,730,0,1,1,1,727,3.9209599641179222,9.819426077160854
1.5,16,3,1.0,2.0,20,20,0.0,500.0,771,771,0,0,0,0,770,3.8405497870739254,6.715274231184202
1.5,17,3,1.0,2.0,20,20,0.0,500.0,781,781,0,0,0,0,777,3.4057090109850363,4.845510730661699
1.5,18,3,1.0,2.0,20,20,0.0,500.0,777,777,0,0,0,0,769,3.0022167261654222,3.591589896672692
1.5,19,3,1.0,2.0,20,20,0.0,500.0,752,752,0,0,0,0,744,3.068302055842176,4.312419431561785
1.5,20,3,1.0,2.0,20,20,0.0,500.0,753,753,0,0,0,0,738,3.3463934090122534,4.518791545592081
2.0,1,3,1.0,2.0,20,20,0.0,500.0,999,999,0,61,61,61,929,8.099009838608959,16.71672652509867
2.0,2,3,1.0,2.0,20,20,0.0,500.0,993,993,0,55,55,55,930,7.632296584860138,15.813856348364498
2.0,3,3,1.0,2.0,20,20,0.0,500.0,1029,1029,0,92,92,92,915,8.473330201245584,12.737942142936578
2.0,4,3,1.0,2.0,20,20,0.0,500.0,1013,1013,0,86,86,86,906,7.737496015765285,16.36072520640389
2.0,5,3,1.0,2.0,20,20,0.0,500.0,1013,1013,0,52,52,52,946,7.36853453810506,12.755369414852733
2.0,6,3,1.0,2.0,20,20,0.0,500.0,1017,1017,0,33,33,33,977,6.6410850439213,14.655022665979002
2.0,7,3,1.0,2.0,20,20,0.0,500.0,1039,1039,0,63,63,63,965,7.387646714707088,12.852015324636197
2.0,8,3,1.0,2.0,20,20,0.0,500.0,1002,1002,0,17,17,17,963,5.656563745236408,9.418700022050308
2.0,9,3,1.0,2.0,20,20,0.0,500.0,1034,1034,0,66,66,66,958,6.5870563529120645,14.699345483839124
2.0,10,3,1.0,2.0,20,20,0.0,500.0,1019,1019,0,36,36,36,968,6.531820586887685,12.073622721611693
2.0,11,3,1.0,2.0,20,20,0.0,500.0,1047,1047,0,54,54,54,987,7.483652342103951,11.850793767129332
2.0,12,3,1.0,2.0,20,20,0.0,500.0,1019,1019,0,44,44,44,967,7.389797942244471,11.785685117941767
2.0,13,3,1.0,2.0,20,20,0.0,500.0,1048,1048,0,65,65,65,966,7.399678337267571,14.057380387185667
2.0,14,3,1.0,2.0,20,20,0.0,500.0,961,961,0,7,7,7,935,4.981066881053799,9.940267011379484
2.0,15,3,1.0,2.0,20,20,0.0,500.0,1000,1000,0,74,74,74,922,8.77091333636929,16.415641248304222
2.0,16,3,1.0,2.0,20,20,0.0,500.0,989,989,0,38,38,38,939,7.798628453429584,12.658235075356393
2.0,17,3,1.0,2.0,20,20,0.0,500.0,1037,1037,0,100,100,100,935,8.625696075983866,14.325290946113125
2.0,18,3,1.0,2.0,20,20,0.0,500.0,1002,1002,0,49,49,49,943,5.906044315841558,14.94816548962331
2.0,19,3,1.0,2.0,20,20,0.0,500.0,1010,1010,0,45,45,45,950,5.830246666560449,16.06935941961958
2.0,20,3,1.0,2.0,20,20,0.0,500.0,978,978,0,44,44,44,929,6.637356633214285,15.708921312867076
2.5,1,3,1.0,2.0,20,20,0.0,500.0,1182,1182,0,136,136,136,1016,8.532815518538596,13.109984349914305
2.5,2,3,1.0,2.0,20,20,0.0,500.0,1282,1276,6,249,249,249,1000,10.808805606793769,16.026816773825654
2.5,3,3,1.0,2.0,20,20,0.0,500.0,1258,1255,3,252,252,252,973,10.91895082042485,10.440154447427037
2.5,4,3,1.0,2.0,20,20,0.0,500.0,1213,1213,0,168,168,168,1033,8.900585399375913,10.823948750085222
2.5,5,3,1.0,2.0,20,20,0.0,500.0,1195,1195,0,228,228,228,942,10.442803946171678,13.69024865740493
2.5,6,3,1.0,2.0,20,20,0.0,500.0,1213,1208,5,177,177,177,1007,9.768701033650073,13.96853704296094
2.5,7,3,1.0,2.0,20,20,0.0,500.0,1245,1239,6,182,182,182,1035,10.137526847840098,8.342231807659118
2.5,8,3,1.0,2.0,20,20,0.0,500.0,1270,1241,29,198,198,198,1027,11.646592188977971,12.67011409882854
2.5,9,3,1.0,2.0,20,20,0.0,500.0,1236,1236,0,175,175,175,1034,9.156675209184852,12.348300911203937
2.5,10,3,1.0,2.0,20,20,0.0,500.0,1283,1283,0,267,267,267,996,10.827998537010503,13.346528681753762
2.5,11,3,1.0,2.0,20,20,0.0,500.0,1272,1271,1,261,261,261,980,10.858323112856013,11.17602049198236
2.5,12,3,1.0,2.0,20,20,0.0,500.0,1232,1232,0,200,200,200,1006,9.903603829290873,14.109408269460756
2.5,13,3,1.0,2.0,20,20,0.0,500.0,1254,1254,0,175,175,175,1065,10.019186786212467,7.574723993632514
2.5,14,3,1.0,2.0,20,20,0.0,500.0,1230,1230,0,223,223,223,985,10.49454333843621,9.987308138989148
2.5,15,3,1.0,2.0,20,20,0.0,500.0,1188,1176,12,163,163,163,984,10.033821248477567,16.406382776936855
2.5,16,3,1.0,2.0,20,20,0.0,500.0,1229,1229,0,233,233,233,968,10.727765155592037,9.072973029910306
2.5,17,3,1.0,2.0,20,20,0.0,500.0,1254,1249,5,313,313,313,922,12.03518225199434,11.358990048896166
2.5,18,3,1.0,2.0,20,20,0.0,500.0,1214,1213,1,202,202,202,988,10.15004400566928,9.83474419150195
2.5,19,3,1.0,2.0,20,20,0.0,500.0,1310,1310,0,291,291,291,1000,10.361913351906079,12.519859052310629
2.5,20,3,1.0,2.0,20,20,0.0,500.0,1256,1256,0,240,240,240,1001,10.495999668246247,10.920271873053895
3.0,1,3,1.0,2.0,20,20,0.0,500.0,1487,1434,53,427,427,427,975,13.628151091893093,15.292783833667883
3.0,2,3,1.0,2.0,20,20,0.0,500.0,1539,1418,121,385,385,385,994,13.536576624328541,16.029027348720142
3.0,3,3,1.0,2.0,20,20,0.0,500.0,1531,1499,32,493,493,493,976,12.884265784058426,17.033939127629797
3.0,4,3,1.0,2.0,20,20,0.0,500.0,1471,1456,15,427,427,427,990,12.586606870538299,12.137775973244652
3.0,5,3,1.0,2.0,20,20,0.0,500.0,1480,1409,71,380,380,380,1008,13.3727608063404,16.634693699707512
3.0,6,3,1.0,2.0,20,20,0.0,500.0,1497,1455,42,433,433,433,986,13.096852730302675,16.935324109141483
3.0,7,3,1.0,2.0,20,20,0.0,500.0,1446,1412,34,347,347,347,1023,11.27787862685029,14.236791253575145
3.0,8,3,1.0,2.0,20,20,0.0,500.0,1526,1474,52,476,476,476,978,13.500023070425883,18.26651790651508
3.0,9,3,1.0,2.0,20,20,0.0,500.0,1479,1434,45,351,351,351,1054,12.438482887329965,13.937032682140014
3.0,10,3,1.0,2.0,20,20,0.0,500.0,1523,1455,68,427,427,427,992,13.582635166150839,13.70209159523753
3.0,11,3,1.0,2.0,20,20,0.0,500.0,1539,1450,89,441,441,441,985,13.285191511846756,17.449952947318906
3.0,12,3,1.0,2.0,20,20,0.0,500.0,1456,1396,60,341,341,341,1031,12.87706585777622,14.396002661277215
3.0,13,3,1.0,2.0,20,20,0.0,500.0,1553,1481,72,471,471,471,975,13.610996997152915,17.3885394786359
3.0,14,3,1.0,2.0,20,20,0.0,500.0,1530,1463,67,431,431,431,998,13.165344715582917,17.648110401554153
3.0,15,3,1.0,2.0,20,20,0.0,500.0,1425,1404,21,427,427,427,949,12.949879640128703,12.978182582978329
3.0,16,3,1.0,2.0,20,20,0.0,500.0,1525,1402,123,368,368,368,994,14.30880442850201,20.51389798660973
3.0,17,3,1.0,2.0,20,20,0.0,500.0,1522,1446,76,373,373,373,1042,13.169734720310686,11.407298398953358
3.0,18,3,1.0,2.0,20,20,0.0,500.0,1537,1477,60,502,502,502,950,14.138890081059351,15.301985405305048
3.0,19,3,1.0,2.0,20,20,0.0,500.0,1544,1450,94,440,440,440,982,14.122416135738055,17.35606420744352
3.0,20,3,1.0,2.0,20,20,0.0,500.0,1492,1413,79,407,407,407,984,14.590025453642895,15.65530554636161
4.0,1,3,1.0,2.0,20,20,0.0,500.0,1981,1524,457,505,505,505,987,16.267922212672566,12.847158858907592
4.0,2,3,1.0,2.0,20,20,0.0,500.0,1969,1531,438,512,512,512,980,16.0252087565468,12.370632283792805
4.0,3,3,1.0,2.0,20,20,0.0,500.0,2023,1562,461,491,491,491,1032,15.356618944305525,11.500581454371122
4.0,4,3,1.0,2.0,20,20,0.0,500.0,1993,1535,458,488,488,488,1006,15.77094595042149,13.185446969995384
4.0,5,3,1.0,2.0,20,20,0.0,500.0,1970,1436,534,436,436,436,963,16.68325729126746,16.783719042185385
4.0,6,3,1.0,2.0,20,20,0.0,500.0,1964,1509,455,488,488,488,981,15.999801787654121,14.080261865544212
4.0,7,3,1.0,2.0,20,20,0.0,500.0,2065,1555,510,534,534,534,991,16.09046600171441,13.809635995014371
